Time point (min),Pump 1,Pump 2,Pump 3,Valve 1,Valve 2,Valve 3,Notes
0.000,on,,,CCW,CCW,CCW,1
0.454,off,,,,,,
354.232,,on,,,,,
354.687,,off,,,,,
354.697,,,on,,,,
355.151,,,off,,,,
355.161,,on,,,,,
355.616,,off,,,,,
355.626,,,on,,,,
356.081,,,off,,,,
356.091,,on,,,,,
356.545,,off,,,,,
356.555,,,on,,,,
357.010,,,off,,,,
357.020,,on,,,,,
357.474,,off,,,,,
357.484,on,,,,,,
357.939,off,,,,,,
711.717,,on,,,,,
712.172,,off,,,,,
712.182,,,on,,,,
712.636,,,off,,,,
712.646,,on,,,,,
713.101,,off,,,,,
713.111,,,on,,,,
713.565,,,off,,,,
713.575,,on,,,,,
714.030,,off,,,,,
714.040,,,on,,,,
714.494,,,off,,,,
714.504,,on,,,,,
714.959,,off,,,,,
714.969,on,,,,,,
715.423,off,,,,,,
1069.202,,on,,,,,
1069.656,,off,,,,,
1069.666,,,on,,,,
1070.121,,,off,,,,
1070.131,,on,,,,,
1070.585,,off,,,,,
1070.595,,,on,,,,
1071.050,,,off,,,,
1071.060,,on,,,,,
1071.515,,off,,,,,
1071.525,,,on,,,,
1071.979,,,off,,,,
1071.989,,on,,,,,
1072.444,,off,,,,,
1072.454,on,,,,,,
1072.908,off,,,,,,
1426.686,,on,,,,,
1427.141,,off,,,,,
1427.151,,,on,,,,
1427.606,,,off,,,,
1427.616,,on,,,,,
1428.070,,off,,,,,
1428.080,,,on,,,,
1428.535,,,off,,,,
1428.545,,on,,,,,
1428.999,,off,,,,,
1429.009,,,on,,,,
1429.464,,,off,,,,
1429.474,,on,,,,,
1429.928,,off,,,,,
1429.938,on,,,,,,
1430.393,off,,,,,,
1501.149,,on,,,,,
1501.603,,off,,,,,
1501.613,,,on,,,,
1502.068,,,off,,,,
1502.078,,on,,,,,
1502.532,,off,,,,,
1502.542,,,on,,,,
1502.997,,,off,,,,
1503.007,,on,,,,,
1503.461,,off,,,,,
1503.471,,,on,,,,
1503.926,,,off,,,,
1503.936,,on,,,,,
1504.390,,off,,,,,
1504.400,on,,,,,,
1504.855,off,,,,,,
1575.611,,on,,,,,
1576.065,,off,,,,,
1576.075,,,on,,,,
1576.530,,,off,,,,
1576.540,,on,,,,,
1576.994,,off,,,,,
1577.004,,,on,,,,
1577.459,,,off,,,,
1577.469,,on,,,,,
1577.923,,off,,,,,
1577.933,,,on,,,,
1578.388,,,off,,,,
1578.398,,on,,,,,
1578.852,,off,,,,,
1578.862,on,,,,,,
1579.317,off,,,,,,
1650.073,,on,,,,,
1650.527,,off,,,,,
1650.537,,,on,,,,
1650.992,,,off,,,,
1651.002,,on,,,,,
1651.456,,off,,,,,
1651.466,,,on,,,,
1651.921,,,off,,,,
1651.931,,on,,,,,
1652.385,,off,,,,,
1652.395,,,on,,,,
1652.850,,,off,,,,
1652.860,,on,,,,,
1653.314,,off,,,,,
1653.324,on,,,,,,
1653.779,off,,,,,,
2007.557,,on,,,,,
2008.012,,off,,,,,
2008.022,,,on,,,,
2008.476,,,off,,,,
2008.486,,on,,,,,
2008.941,,off,,,,,
2008.951,,,on,,,,
2009.405,,,off,,,,
2009.415,,on,,,,,
2009.870,,off,,,,,
2009.880,,,on,,,,
2010.335,,,off,,,,
2010.345,,on,,,,,
2010.799,,off,,,,,
2010.809,on,,,,,,
2011.264,off,,,,,,
2082.019,,on,,,,,
2082.474,,off,,,,,
2082.484,,,on,,,,
2082.938,,,off,,,,
2082.948,,on,,,,,
2083.403,,off,,,,,
2083.413,,,on,,,,
2083.867,,,off,,,,
2083.877,,on,,,,,
2084.332,,off,,,,,
2084.342,,,on,,,,
2084.797,,,off,,,,
2084.807,,on,,,,,
2085.261,,off,,,,,
2085.271,on,,,,,,
2085.726,off,,,,,,
2203.652,,on,,,,,
2204.106,,off,,,,,
2204.116,,,on,,,,
2204.571,,,off,,,,
2204.581,,on,,,,,
2205.035,,off,,,,,
2205.045,,,on,,,,
2205.500,,,off,,,,
2205.510,,on,,,,,
2205.964,,off,,,,,
2205.974,,,on,,,,
2206.429,,,off,,,,
2206.439,,on,,,,,
2206.894,,off,,,,,
2206.904,on,,,,,,
2207.358,off,,,,,,
2325.284,,on,,,,,
2325.739,,off,,,,,
2325.749,,,on,,,,
2326.203,,,off,,,,
2326.213,,on,,,,,
2326.668,,off,,,,,
2326.678,,,on,,,,
2327.132,,,off,,,,
2327.142,,on,,,,,
2327.597,,off,,,,,
2327.607,,,on,,,,
2328.062,,,off,,,,
2328.072,,on,,,,,
2328.526,,off,,,,,
2328.536,on,,,,,,
2328.991,off,,,,,,
2446.917,,on,,,,,
2447.371,,off,,,,,
2447.381,,,on,,,,
2447.836,,,off,,,,
2447.846,,on,,,,,
2448.300,,off,,,,,
2448.310,,,on,,,,
2448.765,,,off,,,,
2448.775,,on,,,,,
2449.229,,off,,,,,
2449.239,,,on,,,,
2449.694,,,off,,,,
2449.704,,on,,,,,
2450.159,,off,,,,,
2450.169,on,,,,,,
2450.623,off,,,,,,
2568.549,,on,,,,,
2569.004,,off,,,,,
2569.014,,,on,,,,
2569.468,,,off,,,,
2569.478,,on,,,,,
2569.933,,off,,,,,
2569.943,,,on,,,,
2570.397,,,off,,,,
2570.407,,on,,,,,
2570.862,,off,,,,,
2570.872,,,on,,,,
2571.326,,,off,,,,
2571.336,,on,,,,,
2571.791,,off,,,,,
2571.801,on,,,,,,
2572.256,off,,,,,,
2627.850,,on,,,,,
2628.304,,off,,,,,
2628.314,,,on,,,,
2628.769,,,off,,,,
2628.779,,on,,,,,
2629.233,,off,,,,,
2629.243,,,on,,,,
2629.698,,,off,,,,
2629.708,,on,,,,,
2630.162,,off,,,,,
2630.172,,,on,,,,
2630.627,,,off,,,,
2630.637,,on,,,,,
2631.092,,off,,,,,
2631.102,on,,,,,,
2631.556,off,,,,,,
2749.482,,on,,,,,
2749.937,,off,,,,,
2749.947,,,on,,,,
2750.401,,,off,,,,
2750.411,,on,,,,,
2750.866,,off,,,,,
2750.876,,,on,,,,
2751.330,,,off,,,,
2751.340,,on,,,,,
2751.795,,off,,,,,
2751.805,,,on,,,,
2752.259,,,off,,,,
2752.269,,on,,,,,
2752.724,,off,,,,,
2752.734,on,,,,,,
2753.189,off,,,,,,
3106.967,,on,,,,,
3107.421,,off,,,,,
3107.431,,,on,,,,
3107.886,,,off,,,,
3107.896,,on,,,,,
3108.351,,off,,,,,
3108.361,,,on,,,,
3108.815,,,off,,,,
3108.825,,on,,,,,
3109.280,,off,,,,,
3109.290,,,on,,,,
3109.744,,,off,,,,
3109.754,,on,,,,,
3110.209,,off,,,,,
3110.219,off,off,off,,,,
